dong,bus_stop_num,bus_all,old_all,taxi_all,ratio
동구 원동,7,978191,1904,19011,272
동구 인동,9,200096,493,30751,54.77777778
동구 효동,7,98540,54,12861,7.714285714
동구 천동,10,71832,35,22742,3.5
동구 가오동,25,349997,250,68585,10
동구 신흥동,7,91632,62,16111,8.857142857
동구 판암동,20,538031,138873,67136,6943.65
동구 삼정동,10,34256,196,871,19.6
동구 용운동,33,488806,626,94038,18.96969697
동구 대동,13,595970,76728,62973,5902.153846
동구 자양동,9,468852,119,83621,13.22222222
동구 신안동,3,36125,14,8131,4.666666667
동구 소제동,10,136712,25,47426,2.5
동구 가양동,25,855992,747,178690,29.88
동구 용전동,17,1099550,398,232871,23.41176471
동구 성남동,9,945335,253,62534,28.11111111
동구 홍도동,13,308466,64,75670,4.923076923
동구 삼성동,25,472570,279,71547,11.16
동구 정동,6,966683,243650,118027,40608.33333
동구 중동,8,694306,1189,95292,148.625
동구 추동,16,10084,80,184,5
동구 비룡동,6,3154,84,369,14
동구 주산동,6,1759,26,77,4.333333333
동구 용계동,0,0,0,0,0
동구 마산동,6,1291,4,47,0.666666667
동구 효평동,7,3784,3,25,0.428571429
동구 직동,4,1428,8,10,2
동구 세천동,14,16348,144,669,10.28571429
동구 신상동,8,3949,25,179,3.125
동구 신하동,8,4135,18,162,2.25
동구 신촌동,4,513,3,56,0.75
동구 사성동,4,429,3,11,0.75
동구 내탑동,0,0,0,0,0
동구 오동,4,705,1,3,0.25
동구 주촌동,6,1339,9,3,1.5
동구 낭월동,11,277134,155,23230,14.09090909
동구 대별동,12,2416,0,2942,0
동구 이사동,7,1515,0,318,0
동구 대성동,14,154247,145,19083,10.35714286
동구 장척동,2,1059,4,23,2
동구 소호동,8,1997,2,35,0.25
동구 구도동,7,20095,6,2141,0.857142857
동구 삼괴동,11,10288,16,144,1.454545455
동구 상소동,10,16034,6,214,0.6
동구 하소동,14,21223,8,230,0.571428571
중구 은행동,7,1006022,326,96756,46.57142857
중구 선화동,24,692645,70224,145046,2926
중구 목동,12,229839,143,62679,11.91666667
중구 중촌동,13,376196,105,84122,8.076923077
중구 대흥동,28,911680,42712,206400,1525.428571
중구 문창동,5,156256,73,40395,14.6
중구 석교동,6,159403,120,11938,20
중구 호동,2,76897,56,9166,28
중구 옥계동,5,121999,111,15468,22.2
중구 대사동,18,163260,312,71699,17.33333333
중구 부사동,7,286655,166,18106,23.71428571
중구 용두동,12,285182,145,33763,12.08333333
중구 오류동,15,611832,205895,152721,13726.33333
중구 태평동,26,489007,708,133255,27.23076923
중구 유천동,19,624933,1008,149269,53.05263158
중구 문화동,43,1287135,1097,142957,25.51162791
중구 산성동,21,572377,342,71982,16.28571429
중구 사정동,25,206817,106,19400,4.24
중구 안영동,16,59040,22,6557,1.375
중구 무수동,4,410,4,44,1
중구 구완동,2,579,0,9,0
중구 침산동,9,2055,6,119,0.666666667
중구 목달동,7,1787,15,42,2.142857143
중구 정생동,12,4026,0,74,0
중구 어남동,8,3154,1,21,0.125
중구 금동,8,1450,12,33,1.5
서구 복수동,19,344610,76,73220,4
서구 변동,19,414132,316,76766,16.63157895
서구 도마동,43,1543010,1817,164747,42.25581395
서구 정림동,21,530646,229,52600,10.9047619
서구 용문동,9,275685,124120,106389,13791.11111
서구 탄방동,25,953013,66764,298355,2670.56
서구 괴정동,12,459135,72,213137,6
서구 가장동,12,305614,234,47754,19.5
서구 내동,17,501145,242,81562,14.23529412
서구 갈마동,28,1132062,70521,341468,2518.607143
서구 둔산동,72,4767342,138476,766681,1923.277778
서구 월평동,32,957323,82941,268956,2591.90625
서구 가수원동,22,598430,482,72038,21.90909091
서구 도안동,22,366795,111,71220,5.045454545
서구 관저동,60,1171835,1233,188888,20.55
서구 흑석동,19,32595,21,429,1.105263158
서구 매노동,5,2256,1,89,0.2
서구 산직동,9,3933,2,67,0.222222222
서구 장안동,18,5761,4,131,0.222222222
서구 평촌동,12,12647,1,69,0.083333333
서구 오동,4,1566,0,41,0
서구 우명동,15,5421,0,18,0
서구 원정동,12,2984,0,14,0
서구 용촌동,10,2475,4,15,0.4
서구 봉곡동,5,1724,0,37,0
서구 괴곡동,24,7635,11,792,0.458333333
서구 만년동,11,417669,368,91945,33.45454545
유성구 원내동,25,450301,633,33488,25.32
유성구 교촌동,8,40814,23,8221,2.875
유성구 대정동,12,100182,63,17464,5.25
유성구 용계동,13,5492,40,6695,3.076923077
유성구 학하동,16,57316,23,3738,1.4375
유성구 계산동,5,22636,220,11312,44
유성구 성북동,14,5437,0,125,0
유성구 세동,19,5099,6,28,0.315789474
유성구 송정동,10,2541,0,45,0
유성구 방동,26,8732,161,373,6.192307692
유성구 봉명동,34,1839947,121575,363650,3575.735294
유성구 구암동,28,339555,75892,48491,2710.428571
유성구 덕명동,15,278648,913,24086,60.86666667
유성구 원신흥동,13,312421,452,63505,34.76923077
유성구 상대동,12,160517,435,42842,36.25
유성구 복용동,11,22527,247,5522,22.45454545
유성구 장대동,18,211449,133,78664,7.388888889
유성구 갑동,4,6094,34,1408,8.5
유성구 노은동,12,137382,43233,35104,3602.75
유성구 지족동,35,401631,90283,89296,2579.514286
유성구 죽동,8,49108,131,38739,16.375
유성구 궁동,23,1027987,392,98777,17.04347826
유성구 어은동,7,88498,36,46790,5.142857143
유성구 구성동,11,91286,43,26702,3.909090909
유성구 신성동,24,227739,177,43896,7.375
유성구 가정동,4,26086,57,9046,14.25
유성구 도룡동,22,262083,90,61614,4.090909091
유성구 장동,13,137781,4,14166,0.307692308
유성구 방현동,4,4881,0,408,0
유성구 화암동,13,54272,79,5208,6.076923077
유성구 덕진동,0,0,1,1361,0
유성구 하기동,11,99538,176,15757,16
유성구 추목동,4,3527,2,1295,0.5
유성구 자운동,11,17727,8,3168,0.727272727
유성구 신봉동,8,32028,29,4824,3.625
유성구 수남동,0,0,0,409,0
유성구 안산동,5,5029,10,241,2
유성구 외삼동,3,3006,14,457,4.666666667
유성구 반석동,15,230806,55275,33026,3685
유성구 문지동,9,76218,13,17962,1.444444444
유성구 전민동,22,325215,207,52065,9.409090909
유성구 원촌동,6,25216,12,4431,2
유성구 탑립동,18,54162,0,10717,0
유성구 용산동,19,132148,12,25062,0.631578947
유성구 봉산동,14,52564,15,16276,1.071428571
유성구 관평동,26,558150,150,77939,5.769230769
유성구 송강동,14,457807,66,33538,4.714285714
유성구 금고동,12,666,0,64,0
유성구 대동,10,1629,0,35,0
유성구 금탄동,1,1061,0,14,0
유성구 신동,0,0,0,71,0
유성구 둔곡동,1,210,0,300,0
유성구 구룡동,5,701,0,237,0
대덕구 오정동,36,1006608,367,115580,10.19444444
대덕구 대화동,23,158096,105,36787,4.565217391
대덕구 읍내동,14,304412,60,22375,4.285714286
대덕구 연축동,4,32780,2,2609,0.5
대덕구 신대동,2,129420,30,5967,15
대덕구 와동,14,101989,1,5345,0.071428571
대덕구 송촌동,19,522595,193,118486,10.15789474
대덕구 법동,19,550025,239,79975,12.57894737
대덕구 중리동,25,719964,206,151613,8.24
대덕구 비래동,19,371928,103,65992,5.421052632
대덕구 석봉동,11,280205,15,28398,1.363636364
대덕구 목상동,5,130687,2,16981,0.4
대덕구 문평동,5,71465,0,8892,0
